name,lat,lng,type,size,shape,Primary Market,Airing,Participant,PRX Dovetail hosts,Impact,audio,Podcast Portfolio,Total Donors,To PRX,To Radiotopia,To <i>Ear Hustle</i>,To <i>The World</i>,Other,Downloads in FY25
KHNS-FM:,59.2351471,-135.447332,broadcast,xlarge,,"Haines, AK","<i>Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Sound Opinions | The World | This American Life | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WUSF-FM:,28.061474,-82.412005,broadcast,xlarge,,"Tampa-St. Petersburg-Clearwater, FL",<i>Latino USA | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Sound Opinions | The Moth Radio Hour | The World | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
WVOF-FM:,41.1408363,-73.2612615,broadcast,xlarge,,"Fairfield, CT",<i>Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge</i>,,,,,,,,,,,,
WRLI-FM:,40.884267,-72.3895296,broadcast,xlarge,,"Southampton, NY",<i>Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge</i>,,,,,,,,,,,,
WNPR-FM:,41.6677679,-72.7818751,broadcast,xlarge,,"Hartford-New Britain-Middletown, CT",<i>Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge</i>,,,,,,,,,,,,
WEDW-FM:,41.0527986,-73.5394821,broadcast,xlarge,,"Stamford, CT",<i>Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge</i>,,,,,,,,,,,,
WECS-FM:,41.7106543,-72.2081338,broadcast,xlarge,,"Willimantic, CT",<i>Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KUHF-FM:,29.7600771,-95.3701108,broadcast,xlarge,,"Houston-Galveston, TX","<i>Embodied | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | Think</i>",,,,,,,,,,,,
KUND-FM:,47.9252568,-97.0328547,broadcast,xlarge,,"Grand Forks, ND",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KPRJ-FM:,46.9105438,-98.7084357,broadcast,xlarge,,"Jamestown, ND",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KPPW-FM:,48.1469683,-103.6179745,broadcast,xlarge,,"Williston, ND",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
Prairie Public (KPPD-FM):,48.112779,-98.8651202,broadcast,xlarge,,"Devils Lake, ND",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KMPR-FM:,48.2329668,-101.2922906,broadcast,xlarge,,"Minot, ND",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KDPR-FM:,46.8791756,-102.7896242,broadcast,xlarge,,"Dickinson, ND",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KCND-FM:,46.8041643,-100.7877616,broadcast,xlarge,,"Bismarck, ND",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
